Year,LocationDesc,Category,Topic,Age_18-24,Age_20-24,Age_25-44,Age_35+,Age_45-64,Age_65+,Age_75+,Gender_Female,Gender_Male,Overall_Overall,Race_Hispanic,Race_Non-Hispanic Asian,Race_Non-Hispanic Black,Race_Non-Hispanic White,Race_Other
2011,Arkansas,Risk Factors,Physical Inactivity,83.2,,75.8,63.9,63.0,59.1,56.2,65.9,72.5,69.1,65.5,,71.3,69.0,69.9
2011,Arkansas,Risk Factors,Smoking,27.1,,32.9,23.8,29.7,11.6,5.5,24.9,29.0,26.9,,,28.0,27.5,28.6
2011,California,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,0.9,4.8,4.1,10.7,12.3,2.3,4.4,3.3,2.5,2.5,5.2,3.8,
2011,California,Cardiovascular Diseases,Coronary Heart Disease,,,1.0,4.9,4.3,11.0,12.4,2.7,4.4,3.5,2.6,2.5,4.5,4.3,5.8
2011,California,Cardiovascular Diseases,Major Cardiovascular Disease,,,2.0,9.3,7.7,20.9,23.2,5.6,7.7,6.6,4.9,5.1,8.9,7.8,13.0
2011,California,Cardiovascular Diseases,Stroke,,,0.7,3.1,2.2,7.8,8.8,2.2,2.2,2.2,1.6,1.8,2.4,2.7,
2011,California,Risk Factors,Cholesterol Abnormalities,,11.0,59.2,69.35,69.55,76.7,75.8,65.7,67.0,66.3,65.7,66.95,64.55000000000001,66.85,31.8
2011,California,Risk Factors,Diabetes,,,2.9,12.0,12.4,20.6,19.3,8.6,9.2,8.9,9.7,8.5,14.4,7.7,10.8
2011,California,Risk Factors,Hypertension,5.8,,22.900000000000002,57.75,56.55,77.3,79.30000000000001,51.65,48.1,49.75,40.4,50.5,58.1,54.2,45.15
2011,California,Risk Factors,Nutrition,79.4,,75.9,74.6,74.2,74.1,73.9,70.9,80.2,75.6,73.4,80.2,80.4,75.4,70.7
2011,California,Risk Factors,Obesity,,33.150000000000006,30.65,30.0,29.95,29.85,30.4,34.3,26.7,30.5,29.0,32.85,29.2,30.85,34.95
2011,California,Risk Factors,Physical Inactivity,86.4,,81.2,79.7,80.4,76.5,72.5,79.9,81.9,80.9,74.4,81.9,77.7,85.6,82.0
2011,California,Risk Factors,Smoking,13.4,,16.4,12.5,13.7,6.9,4.0,10.0,17.3,13.6,12.0,7.7,19.8,15.3,25.1
2011,Colorado,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,0.5,3.8,2.8,9.9,13.4,1.8,3.5,2.7,2.2,,,2.8,
2011,Colorado,Cardiovascular Diseases,Coronary Heart Disease,,,,3.5,2.8,9.2,12.6,2.0,2.9,2.5,1.1,,,2.7,
2011,Colorado,Cardiovascular Diseases,Major Cardiovascular Disease,,,1.4,7.5,5.7,18.2,25.6,4.4,6.2,5.3,3.8,,6.6,5.5,8.7
2011,Colorado,Cardiovascular Diseases,Stroke,,,0.8,2.7,2.2,5.7,8.9,2.0,1.9,2.0,1.9,,,1.8,
2011,Colorado,Risk Factors,Cholesterol Abnormalities,,8.9,55.300000000000004,67.15,67.5,76.30000000000001,74.75,64.15,64.6,64.35,64.75,14.2,26.9,64.6,36.2
2011,Colorado,Risk Factors,Diabetes,,,2.6,9.1,8.4,17.1,15.9,6.1,7.3,6.7,10.1,,10.1,5.5,11.4
2011,Colorado,Risk Factors,Hypertension,5.3,,20.25,54.55,53.3,73.6,77.0,50.55,44.900000000000006,47.400000000000006,39.75,13.4,53.6,48.949999999999996,43.25
2011,Colorado,Risk Factors,Nutrition,87.1,,79.2,79.8,80.3,80.7,82.6,76.1,85.6,80.8,83.9,81.5,82.0,80.2,73.3
2011,Colorado,Risk Factors,Obesity,,34.75,31.6,30.05,30.200000000000003,29.6,29.349999999999998,34.95,27.4,31.05,28.85,57.2,32.8,31.45,30.9
2011,Colorado,Risk Factors,Physical Inactivity,88.6,,85.5,81.9,82.1,77.6,70.6,82.9,84.1,83.5,76.7,83.1,78.7,85.5,85.2
2011,Colorado,Risk Factors,Smoking,21.6,,21.9,15.7,17.5,8.8,4.5,15.2,21.4,18.3,20.2,,24.0,17.8,19.8
2011,Connecticut,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,24.5,24.45,28.0,28.2,17.6,27.75,23.8,3.0,,,26.05,
2011,Connecticut,Cardiovascular Diseases,Coronary Heart Disease,,,,4.6,3.3,11.1,12.4,2.8,3.9,3.3,3.1,,,3.7,
2011,Connecticut,Cardiovascular Diseases,Major Cardiovascular Disease,,,1.7,9.6,6.6,21.5,25.8,6.1,8.0,7.0,6.0,,5.8,7.4,
2011,Connecticut,Cardiovascular Diseases,Stroke,,,,3.0,1.7,7.0,9.9,2.6,1.9,2.2,,,,2.2,
2011,Connecticut,Risk Factors,Cholesterol Abnormalities,,,58.1,69.15,69.45,75.55,46.0,64.75,68.5,66.5,31.8,17.7,31.5,67.4,32.1
2011,Connecticut,Risk Factors,Diabetes,,,3.4,12.4,11.1,21.9,19.8,8.7,9.9,9.3,12.5,,14.8,8.4,
2011,Connecticut,Risk Factors,Hypertension,4.3,,30.65,60.75,58.900000000000006,77.05,77.75,55.15,53.85,54.45,42.2,31.75,61.7,55.75,29.3
2011,Connecticut,Risk Factors,Nutrition,75.3,,79.6,79.5,78.8,81.3,82.0,74.6,83.9,79.1,80.5,78.7,83.0,78.6,75.5
2011,Connecticut,Risk Factors,Obesity,,35.15,31.95,30.299999999999997,30.45,29.049999999999997,29.75,34.25,27.7,31.1,32.1,58.6,29.650000000000002,31.0,30.049999999999997
2011,Connecticut,Risk Factors,Physical Inactivity,80.6,,77.1,73.1,75.1,65.7,60.7,73.2,76.3,74.7,62.8,75.7,68.3,77.1,68.5
2011,Connecticut,Risk Factors,Smoking,19.4,,21.5,14.9,17.1,8.5,5.0,15.5,19.1,17.2,17.1,10.7,21.5,16.9,26.2
2011,Delaware,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,5.2,4.1,10.8,11.7,3.0,4.8,3.8,,,2.2,4.4,
2011,Delaware,Cardiovascular Diseases,Coronary Heart Disease,,,,5.5,4.8,11.1,12.4,3.3,4.6,3.9,,,2.6,4.4,
2011,Delaware,Cardiovascular Diseases,Major Cardiovascular Disease,,,,11.4,10.2,21.5,25.5,7.4,10.1,8.7,,,6.9,9.7,
2011,Delaware,Cardiovascular Diseases,Stroke,,,,4.0,3.6,7.3,9.2,3.2,3.3,3.3,,,3.9,3.5,
2011,Delaware,Risk Factors,Cholesterol Abnormalities,,,59.900000000000006,71.95,72.55,78.45,58.4,68.25,70.1,69.1,36.9,,37.8,69.75,44.7
2011,Delaware,Risk Factors,Diabetes,,,3.7,13.0,12.2,21.5,22.9,9.4,10.0,9.7,,,13.3,9.3,
2011,Delaware,Risk Factors,Hypertension,7.9,,34.1,63.8,61.150000000000006,80.0,81.8,58.1,54.2,56.2,17.8,,57.849999999999994,57.3,46.6
2011,Delaware,Risk Factors,Nutrition,90.5,,88.1,86.8,84.8,86.8,87.3,83.8,90.5,87.0,,,85.5,88.0,
2011,Delaware,Risk Factors,Obesity,,35.95,31.400000000000002,31.0,31.25,29.1,28.55,34.15,28.200000000000003,31.25,29.6,52.0,32.9,30.9,35.9
2011,Delaware,Risk Factors,Physical Inactivity,86.1,,74.6,70.3,71.6,64.8,59.2,72.7,73.4,73.0,73.4,75.7,70.6,73.7,70.8
2011,Delaware,Risk Factors,Smoking,19.2,,30.6,19.1,21.4,8.9,4.3,18.2,25.7,21.8,26.6,,21.4,21.4,33.0
2011,Florida,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,1.0,7.3,5.9,13.8,16.1,4.1,6.8,5.4,5.0,,3.3,6.1,6.1
2011,Florida,Cardiovascular Diseases,Coronary Heart Disease,,,1.3,7.0,5.1,13.9,16.1,4.3,6.4,5.3,3.2,,2.9,6.8,
2011,Florida,Cardiovascular Diseases,Major Cardiovascular Disease,,,2.9,13.7,11.4,24.7,28.0,9.4,11.6,10.5,8.3,,6.5,12.1,11.4
2011,Florida,Cardiovascular Diseases,Stroke,,,1.0,5.1,4.6,8.8,9.6,4.1,3.6,3.9,3.5,,2.2,4.2,6.5
2011,Florida,Risk Factors,Cholesterol Abnormalities,,10.9,59.400000000000006,71.9,71.35,79.2,57.1,68.95,69.05,68.95,66.25,38.6,33.7,70.4,45.4
2011,Florida,Risk Factors,Diabetes,,,2.8,13.8,13.1,21.6,18.1,9.7,11.1,10.4,9.8,,12.6,10.3,
2011,Florida,Risk Factors,Hypertension,7.6,,30.549999999999997,63.8,61.05,78.4,78.6,58.65,54.650000000000006,56.65,51.3,17.9,56.75,58.5,48.15
2011,Florida,Risk Factors,Nutrition,84.8,,80.3,81.7,81.8,80.9,80.8,78.0,85.1,81.4,81.0,73.6,80.5,82.3,78.3
2011,Florida,Risk Factors,Obesity,,31.95,31.9,30.4,31.25,28.8,27.85,33.9,28.0,30.950000000000003,30.400000000000002,53.6,33.15,30.7,30.1
2011,Florida,Risk Factors,Physical Inactivity,84.3,,74.7,70.0,71.9,66.6,64.9,70.7,75.5,73.1,68.0,81.6,67.5,75.9,72.1
2011,Florida,Risk Factors,Smoking,20.1,,23.0,17.9,23.4,7.9,5.3,17.0,21.8,19.4,15.1,,16.7,21.4,27.1
2011,Georgia,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,6.1,5.6,13.8,15.6,3.6,5.2,4.4,,,3.0,5.2,
2011,Georgia,Cardiovascular Diseases,Coronary Heart Disease,,,,6.2,6.1,14.1,15.6,3.7,5.0,4.4,,,3.3,5.1,
2011,Georgia,Cardiovascular Diseases,Major Cardiovascular Disease,,,2.6,11.8,11.2,25.0,28.8,7.9,9.4,8.6,3.4,,6.9,10.0,11.3
2011,Georgia,Cardiovascular Diseases,Stroke,,,1.7,4.4,4.1,8.4,9.9,3.3,3.5,3.4,,,2.9,3.8,
2011,Georgia,Risk Factors,Cholesterol Abnormalities,,10.3,59.150000000000006,70.2,71.6,77.9,56.6,67.0,66.85,66.95,26.5,31.5,66.1,67.9,29.2
2011,Georgia,Risk Factors,Diabetes,,,3.8,14.1,14.1,25.9,23.1,10.4,9.8,10.1,6.2,,11.7,10.1,9.8
2011,Georgia,Risk Factors,Hypertension,29.4,,34.3,63.349999999999994,63.599999999999994,80.65,81.85,58.0,53.05,55.6,33.95,18.0,58.25,56.4,30.1
2011,Georgia,Risk Factors,Nutrition,87.1,,82.4,85.1,85.0,86.4,87.4,82.2,87.0,84.5,85.4,80.7,83.8,85.0,81.2
2011,Georgia,Risk Factors,Obesity,,34.4,31.2,30.45,30.85,29.849999999999998,28.5,34.2,28.1,31.15,28.95,63.3,31.549999999999997,31.150000000000002,31.1
2011,Georgia,Risk Factors,Physical Inactivity,80.8,,75.6,70.6,71.7,63.6,60.1,70.3,76.3,73.2,68.7,78.5,72.0,74.2,74.2
2011,Georgia,Risk Factors,Smoking,25.0,,23.6,19.7,21.8,10.8,5.2,18.3,24.4,21.3,12.7,,17.5,24.3,28.4
2011,Hawaii,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,4.3,3.6,8.5,9.4,1.9,4.5,3.2,,3.7,,3.7,2.3
2011,Hawaii,Cardiovascular Diseases,Coronary Heart Disease,,,,4.1,3.6,8.4,9.6,2.5,3.4,3.0,1.8,3.3,,3.3,2.5
2011,Hawaii,Cardiovascular Diseases,Major Cardiovascular Disease,,,1.0,8.7,7.2,17.4,19.9,5.2,7.4,6.3,3.6,7.0,,6.8,5.0
2011,Hawaii,Cardiovascular Diseases,Stroke,,,,3.6,2.6,7.8,8.2,2.3,2.7,2.5,,2.8,,2.3,2.3
2011,Hawaii,Risk Factors,Cholesterol Abnormalities,,,58.85,68.8,68.95,48.9,44.8,66.35,66.2,66.25,38.0,69.6,32.6,63.75,61.6
2011,Hawaii,Risk Factors,Diabetes,,,3.6,11.6,10.4,18.6,17.9,8.6,8.3,8.4,6.4,10.7,,5.3,9.7
2011,Hawaii,Risk Factors,Hypertension,,,32.35,61.7,60.0,75.8,77.0,56.8,52.35,54.6,49.400000000000006,60.0,29.8,47.55,51.0
2011,Hawaii,Risk Factors,Nutrition,83.4,,80.7,79.3,80.5,76.0,72.3,77.1,83.0,80.1,81.1,81.6,,77.7,79.2
2011,Hawaii,Risk Factors,Obesity,,34.15,32.35,31.4,31.15,30.0,30.4,34.0,29.25,31.549999999999997,31.0,31.549999999999997,45.1,31.55,32.6
2011,Hawaii,Risk Factors,Physical Inactivity,83.8,,80.0,77.1,78.2,74.3,71.0,75.7,81.8,78.7,78.7,76.2,,83.4,76.7
2011,Hawaii,Risk Factors,Smoking,23.2,,20.6,13.8,16.5,6.6,5.2,13.9,19.7,16.8,26.9,11.4,,17.5,26.0
2011,Idaho,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,1.0,5.4,3.9,12.3,15.7,2.8,4.8,3.8,,,,4.0,
2011,Idaho,Cardiovascular Diseases,Coronary Heart Disease,,,,5.9,3.9,13.7,17.6,3.4,4.9,4.1,,,,4.3,
2011,Idaho,Cardiovascular Diseases,Major Cardiovascular Disease,,,2.6,10.8,7.2,24.5,30.9,6.6,8.8,7.7,,,,7.9,
2011,Idaho,Cardiovascular Diseases,Stroke,,,,3.4,1.7,8.6,12.2,2.4,2.3,2.4,,,,2.5,
2011,Idaho,Risk Factors,Cholesterol Abnormalities,,,56.3,69.0,69.45,76.85,76.3,65.45,67.25,66.3,33.4,,,66.4,45.8
2011,Idaho,Risk Factors,Diabetes,,,3.3,12.7,12.7,20.7,20.2,8.5,10.3,9.4,10.3,,,9.0,
2011,Idaho,Risk Factors,Hypertension,10.2,,27.1,57.2,53.0,75.15,76.3,50.45,47.2,48.7,40.7,,,49.7,45.25
2011,Idaho,Risk Factors,Nutrition,86.5,,80.6,81.8,83.5,81.0,80.2,78.1,86.9,82.5,73.3,,,83.3,
2011,Idaho,Risk Factors,Obesity,,36.099999999999994,32.5,29.4,30.05,27.5,26.9,34.55,28.0,31.150000000000002,34.2,,,30.9,43.8
2011,Idaho,Risk Factors,Physical Inactivity,84.1,,80.6,76.8,79.4,68.3,62.7,77.9,79.4,78.6,68.6,50.0,,80.0,76.8
2011,Idaho,Risk Factors,Smoking,18.2,,21.1,15.0,17.3,8.4,5.7,15.0,19.5,17.2,18.4,,,17.0,19.4
2011,Illinois,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,23.799999999999997,24.5,27.85,26.650000000000002,20.95,23.45,22.35,,,21.25,22.9,
2011,Illinois,Cardiovascular Diseases,Coronary Heart Disease,,,,4.6,2.6,12.7,16.4,3.2,3.6,3.4,,,2.1,4.0,
2011,Illinois,Cardiovascular Diseases,Major Cardiovascular Disease,,,3.2,10.3,7.2,23.4,28.7,7.3,7.9,7.6,,,7.7,7.9,31.9
2011,Illinois,Cardiovascular Diseases,Stroke,,,,4.2,3.7,7.9,10.2,3.6,2.6,3.1,,,4.9,2.6,
2011,Illinois,Risk Factors,Cholesterol Abnormalities,,,57.099999999999994,69.45,70.15,77.75,77.9,65.75,67.55000000000001,66.6,32.9,31.3,36.1,67.2,42.8
2011,Illinois,Risk Factors,Diabetes,,,4.9,13.7,12.3,22.2,22.2,8.6,10.9,9.7,10.3,,13.3,8.9,
2011,Illinois,Risk Factors,Hypertension,7.3,,30.75,61.8,61.8,77.69999999999999,79.95,55.599999999999994,53.15,54.25,37.95,19.8,59.6,55.95,30.9
2011,Illinois,Risk Factors,Nutrition,84.1,,82.6,81.1,80.0,81.1,80.8,78.0,85.4,81.6,82.1,76.1,81.0,81.8,
2011,Illinois,Risk Factors,Obesity,,33.25,29.9,29.950000000000003,30.1,29.85,29.85,33.75,26.65,30.25,25.85,57.9,31.85,30.75,
2011,Illinois,Risk Factors,Physical Inactivity,85.7,,77.3,71.9,73.4,64.3,60.0,73.0,76.7,74.8,68.8,76.0,73.1,76.5,70.1
2011,Illinois,Risk Factors,Smoking,25.2,,24.1,18.8,22.6,7.6,4.9,17.8,24.3,20.9,23.5,,26.7,19.9,
2011,Indiana,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,2.1,7.4,5.9,15.0,17.2,4.1,7.0,5.5,,,4.3,5.7,
2011,Indiana,Cardiovascular Diseases,Coronary Heart Disease,,,1.2,7.0,5.6,14.3,15.8,3.9,5.8,4.8,,,3.5,5.2,
2011,Indiana,Cardiovascular Diseases,Major Cardiovascular Disease,,,3.5,13.1,10.7,25.0,28.8,8.4,10.7,9.6,4.7,,9.0,9.8,
2011,Indiana,Cardiovascular Diseases,Stroke,,,1.3,4.6,3.7,8.7,10.3,3.4,3.3,3.4,,,5.2,3.2,
2011,Indiana,Risk Factors,Cholesterol Abnormalities,,,57.7,70.6,70.45,77.9,76.75,67.0,67.95,67.44999999999999,32.7,,32.2,67.9,41.4
2011,Indiana,Risk Factors,Diabetes,,,4.0,13.8,14.0,21.3,18.9,10.1,10.2,10.2,8.1,,13.2,9.9,
2011,Indiana,Risk Factors,Hypertension,8.3,,33.85,63.75,62.35,80.30000000000001,82.25,58.300000000000004,54.05,56.050000000000004,32.95,,59.75,56.8,34.2
2011,Indiana,Risk Factors,Nutrition,85.7,,85.1,84.8,83.8,85.6,86.7,81.6,88.3,84.8,78.0,,85.2,85.2,
2011,Indiana,Risk Factors,Obesity,,32.1,32.75,30.45,30.95,28.450000000000003,27.7,33.5,28.950000000000003,31.25,29.0,53.7,33.2,31.15,36.150000000000006
2011,Indiana,Risk Factors,Physical Inactivity,83.3,,73.2,67.7,68.0,61.9,55.2,70.7,70.8,70.7,61.6,,69.3,71.4,70.8
2011,Indiana,Risk Factors,Smoking,29.0,,31.0,23.3,26.3,11.5,7.3,23.8,27.6,25.7,22.0,,32.1,25.2,37.8
2011,Iowa,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,,5.4,4.1,11.0,12.9,3.0,4.9,3.9,,,,3.9,
2011,Iowa,Cardiovascular Diseases,Coronary Heart Disease,,,,5.2,3.6,11.5,14.8,3.1,4.5,3.8,,,,3.9,
2011,Iowa,Cardiovascular Diseases,Major Cardiovascular Disease,,,1.7,10.2,7.5,21.1,26.8,6.5,8.5,7.5,,,,7.6,
2011,Iowa,Cardiovascular Diseases,Stroke,,,,3.4,2.4,7.3,10.1,2.6,2.3,2.4,,,,2.5,
2011,Iowa,Risk Factors,Cholesterol Abnormalities,,,57.0,68.85,68.3,76.0,76.05,66.4,66.45,66.4,23.3,53.4,25.1,66.5,47.2
2011,Iowa,Risk Factors,Diabetes,,,1.9,11.5,11.3,18.2,18.3,8.0,8.4,8.2,,,7.9,8.3,
2011,Iowa,Risk Factors,Hypertension,7.5,,28.1,60.849999999999994,57.9,76.94999999999999,80.1,56.5,50.5,53.55,26.25,,50.45,54.4,44.8
2011,Iowa,Risk Factors,Nutrition,88.5,,87.0,85.6,86.5,83.6,79.9,82.0,90.9,86.4,80.5,,,86.7,
2011,Iowa,Risk Factors,Obesity,,33.4,31.4,30.55,30.55,29.950000000000003,29.0,33.25,28.700000000000003,31.0,29.099999999999998,69.7,31.25,30.95,34.7
2011,Iowa,Risk Factors,Physical Inactivity,81.8,,77.1,71.8,72.7,66.6,62.9,75.0,73.2,74.1,61.7,76.6,74.3,74.7,71.2
2011,Iowa,Risk Factors,Smoking,27.1,,25.6,17.5,20.4,7.1,3.9,18.6,22.2,20.3,19.0,,35.6,20.0,34.8
2011,Kansas,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),,,1.2,6.2,4.4,13.6,16.0,3.1,5.7,4.4,3.1,,3.1,4.7,7.3
2011,Kansas,Cardiovascular Diseases,Coronary Heart Disease,,,1.1,6.4,4.7,14.2,15.1,3.9,5.2,4.5,3.5,,3.5,4.7,5.4
2011,Kansas,Cardiovascular Diseases,Major Cardiovascular Disease,,,2.7,11.8,9.0,24.7,27.7,7.6,9.5,8.5,6.0,,8.2,8.8,11.8
2011,Kansas,Cardiovascular Diseases,Stroke,,,1.1,3.8,2.8,7.9,9.5,2.9,2.5,2.7,1.5,,4.3,2.7,
2011,Kansas,Risk Factors,Cholesterol Abnormalities,,51.7,58.550000000000004,70.1,70.25,76.80000000000001,75.35,67.4,67.4,67.35,64.2,29.2,34.4,67.75,42.6
2011,Kansas,Risk Factors,Diabetes,,,3.7,13.1,13.1,20.4,20.4,9.1,10.0,9.5,9.6,,13.7,9.3,13.2
2011,Kansas,Risk Factors,Hypertension,5.9,,31.05,61.849999999999994,60.7,77.05,78.1,55.75,52.349999999999994,54.05,40.1,7.3,56.7,55.45,49.25
2011,Kansas,Risk Factors,Nutrition,88.0,,85.6,86.7,87.1,86.4,86.1,83.3,90.0,86.6,85.9,83.9,88.4,86.6,89.2
2011,Kansas,Risk Factors,Obesity,,34.599999999999994,32.05,30.8,30.95,29.85,29.549999999999997,34.349999999999994,28.700000000000003,31.450000000000003,31.5,33.85,33.2,31.4,28.200000000000003
2011,Kansas,Risk Factors,Physical Inactivity,82.4,,76.2,70.3,70.7,65.2,61.9,73.5,72.8,73.2,65.6,76.5,67.4,74.3,70.2
